text,sentiment,hate_speech
"на работе был полный пиддес :| и так каждое закрытие месяца, я же свихнусь так D:",-1,0
"Коллеги сидят рубятся в Urban terror, а я из-за долбанной винды не могу :(",-1,1
@elina_4post как говорят обещаного три года ждут...((,-1,0
"Желаю хорошего полёта и удачной посадки,я буду очень сильно скучать( http://t.co/jCLNzVNv3S",-1,0
"Обновил за каким-то лешим surf, теперь не работает простоплеер :(",-1,0
"Котёнка вчера носик разбила, плакала и расстраивалась :(",-1,0
"@juliamayko @O_nika55 @and_Possum Зашли, а то он опять затихарился, я прямо физически страдаю, когда он долго молчит!(((",-1,0
а вообще я не болею -  я не выздоравливаю :(,-1,0
я микрофраза :( учимся срать кирпичами в режиме &amp;quot;нон-стоп&amp;quot; @niwoqisipapy,-1,1
"я хочу с тобой помириться , но сука я гордая и никогда этого не сделаю! (((",-1,2
@DNO_OKEANA_A3A3 @MOE_MOPE_A3A3 тебя ебет какие у меня фотки.я про твои молчу.и вообще ты хоть знаешь как ТП то выглядят...,-1,3
Блин начали сниться сны( Не когда почти не снились ! А теперь можно сказать каждый день такое ! Мне это не нравиться ((((((((((,-1,0
"@realVold На твоем месте, я бы сначала телек купил бы(",-1,0
@faraonbgr111 плохо боишься значит(( ты где? В мск бгр?,-1,0
А я хотела... электромобиль =( http://t.co/vgs9JeUPHz,-1,0
Скоро увижу твои зеленые глаза в последний раз(((,-1,0
"Вот это да, докатился,по-оранжевел патриот! Чо деется? :(( RT @SapelSV: #Бабки объединят #КПРФ и Навального? http://t.co/kyJk4A79kv",-1,2
Ну уже 12:25 ночииии:(((( а я ничего не сделалаллалалалалалалвцмдэмппдпктцдкиицкп,-1,0
"@190299der я очень рада,но ты им разобьешь сердца:( Мне их  жалко епт мне оч жалко Влада А всех остальных нет ",-1,1
"Сегодня какой-то нехороший день у меня :-( Телефон наушники не опознает, у блога как-то умудрился шаблон сломать, да еще",-1,0
"думаю,на моем веку почта россии не поднимется со дна (((",-1,0
Мне одному   напоминает дом-2? Путин делает реалити-шоу? O_o,-1,0
ебааааа сейчас модуль будет по региональной экономике ((,-1,1
@kordalona_mars оооууу ты меня анфолловил чувак((,-1,0
вот так я встречаю зиму:(( http://t.co/FjivXAGcR9,-1,0
"@Kyo_oppa ну вот, туда медведь прикреплялся.",-1,0
чорт... хотела сходить в кино...  придется любоваться фильмом в уг качестве на компе(,-1,0
RT @arinaaaaonskul: Так плохо я себя не чувствовала давно :( ,-1,0
