text;sentiment;hate_speech
Вали домой, маленький дилдо!;-1;3
Чувак, Не называй моего брата дилдо!;-1;3
Ой заткнитесь ребята;0;2
Заткнись, дилдо!;-1;3
Жаль, что так вышло с твоей задницей.;0;1
Ладно, все, все, жирная сучка.;-1;3
эта толстая сука нам не позволит.;-1;3
Стоять и смотерть, как мою скотину калечат одну за другой?;-1;3
ТЫ УМРЕШЬ И ПОПАДЕШЬ В АД!!;-1;3
Заткнись, толстая жопа!;-1;3
потому, что ты блюешь каждый раз, когда она с тобой заговаривает.;0;1
Идите ищите его, черт возьми!;-1;1
Я бы с радостью, если бы мог, сукин сын!;0;2
я знаю что у меня нет зонда в заднице;0;1
Заткнитесь вы все,;-1;2
Если вы меня слышите, верните мне моего брата, черт вас возьми!;-1;2
Ублюдки, а ну вернитесь!;-1;3
Пошли вы все! Я иду домой.;-1;1
Мааам, Кот ведет себя как дилдо!;-1;2
Это полное ребячество!;-1;1
Жми на газ, твою мать! Поехали.;-1;1
Заткнись, Я ничего не боюсь.;-1;3
Ты, кусок дерьма, я убью тебя!;-1;3
Я тебе твою хренову башку острелю!;-1;3
Хиппи, Возвращайся в Вудсток если не умеешь стрелять;-1;1
Я наполню тебя свинцом!;-1;3
Нет, у этой дряни вкус как у мочи;-1;1
Боже, посмотрите на этого сукиного сына!;-1;3
Видишь, Стэн? Это грязная маленькая сволочь;-1;3
Я тоже грязная маленькая сволочь;-1;2
Пошли вы, Идите к черту!;-1;2
Ох, здесь воняет дохлой рыбой.;-1;1
Мы можем срубить много бабла если убьем эту хрень;-1;2
Вы нормальные?!;0;0
Это самая бредовая куча свинячего дерьма что я видел за всю жизнь;-1;3
Я убью Сказлзада, а потом мы посмотрим кто эта сволочь;-1;2
Убей его, Убей его!;-1;3
Вашу мать, не стреляйте!;-1;1
Слабак, Дай сюда это ружье;-1;2
"И я им говорю, ""Эй, вылезайте из моей задницы, вы долбаные радуги!""";-1;2
Охренеть!;-1;2
доказать, что у нас не какой-то зассанный провинциальный городишко.;-1;2
Мы не верим, что ты выиграл конкурс честно, жиртрест.;-1;2
Пойдешь смотреть телик и жрать Сырные Чипсы, задница.;-1;2
Пошел ты, хиппи!;-1;2
Ага, сиськи уже почти как у его мамаши!;-1;1
Эй, я не обязан выслушивать это дерьмо от вас, костлявые дохляки!;-1;3
Получи, ты, тупой индиец!;-1;3
Бог ты мой, это самая жирная задница!;-1;3
Давай, маленькая сучка.;-1;3
Эта сучка должна умереть!;-1;3
Меня щас от вас стошнит!;-1;2
Спарки надерет ему зад!;-1;3
Тупая голубая собака.;-1;2
Ты конченный.;-1;3
Если мы потеряем бабло из-за твоего племяша, ты будешь сушиться на вешалке для белья;-1;2
Ты покойник, Джимбо!;-1;3
И он кидает мяч Кайлу, маленькому еврейчику.;-1;1
Твоя сестра надрала тебе зад!;-1;2
Ты получил по жопе от девчонки.;-1;2
Я никогда не позволю надрать свой зад девчонке.;-1;2
Тащи свой зад обратно в кухню, сучка, и давай готовь мне пожрать!;-1;3
Но только она злая сука.;-1;3
У него дерьмо больше чем наш диван.;-1;2
— Клянусь, я убью тебя Стэн!;-1;2
Если бы какая-нибудь девчушка попыталась бы надрать мне задницу;-1;2
эй тёлочка, почему бы тебе не пойти и связать мне свитер,  прежде чем я ударю тебя по лицу!;-1;2
Я тебе напинаю по яйцам!;-1;3
Французы бесят меня.;-1;1
